original_text,rewrite_prompt,rewritten_text
"A bartender is working at a saloon, serving drinks to customers. After he fills a stereotypically Irish man's bucket with beer, Carrie Nation and her followers burst inside. They assault the Irish man, pulling his hat over his eyes and then dumping the beer over his head. The group then begin wrecking the bar, smashing the fixtures, mirrors, and breaking the cash register. The bartender then sprays seltzer water in Nation's face before a group of policemen appear and order everybody to leave.[1]",Give me the highlights.,"Sure, here's the highlights:

- A bartender serves beer to a stereotypically Irish man.
- Carrie Nation and her followers burst inside and assault the Irish man.
- They pull his hat over his eyes and dump the beer over his head.
- The group wrecks the bar, smashing fixtures and mirrors.
- The bartender sprays seltzer water in Nation's face.
- Police officers arrive and order everybody to leave."
"The moon, painted with a smiling face hangs over a park at night. A young couple walking past a fence learn on a railing and look up. The moon smiles. They embrace, and the moon's smile gets bigger. They then sit down on a bench by a tree. The moon's view is blocked, causing him to frown. In the last scene, the man fans the woman with his hat because the moon has left the sky and is perched over her shoulder to see everything better.",Make this longer.,"The moon, painted with a beaming smile, hangs proudly over the park at night. A young couple, silhouetted against the soft glow of the moon, stroll past a fence and pause at the railing to admire the celestial muse above. The moon's smile reflects the joy of the young couple's company, and the night whispers secrets to their ears.

They embrace, the moon's smile widening as if to encompass the embrace. They sit down on a bench by a tree,"
"The film, just over a minute long, is composed of two shots. In the first, a girl sits at the base of an altar or tomb, her face hidden from the camera. At the center of the altar, a viewing portal displays the portraits of three U.S. Presidents—Abraham Lincoln, James A. Garfield, and William McKinley—each victims of assassination.
In the second shot, which runs just over eight seconds long, an assassin kneels feet of Lady Justice.",Rewrite this essay but do it using the writing style of William Shakespeare,"O film of art, thy brevity doth evoke,
A tale spun upon a canvas stark,
Two shots to paint a fleeting scene,
A testament to lives eternally keen.

The first, a canvas etched in shadows' plight,
A tomb's embrace, a hidden face,
The altar's base, a canvas bare,
A portrait gallery of portraits laid bare.

Abraham Lincoln's visage, etched upon the wall,
James A. Garfield's tragic fate"
"Lasting just 61 seconds and consisting of two shots, the first shot is set in a wood during winter. The actor representing then vice-president Theodore Roosevelt enthusiastically hurries down a hillside towards a tree in the foreground. He falls once, but rights himself and cocks his rifle. Two other men, bearing signs reading ""His Photographer"" and ""His Press Agent"" respectively, follow him into the shot; the photographer sets up his camera. ""Teddy"" aims his rifle upward at the tree and fells what appears to be a common house cat, which he then proceeds to stab. ""Teddy"" holds his prize aloft, and the press agent takes notes. The second shot is taken in a slightly different part of the wood, on a path. ""Teddy"" rides the path on his horse towards the camera and out to the left of the shot, followed closely by the press agent and photographer, still dutifully holding their signs.",Make this more detailed.,"Lasting just 61 seconds and consisting of two shots, the first shot is set amidst the wintry woods during the frigid embrace of winter. The embodiment of Vice-President Theodore Roosevelt's spirited nature radiates through the scene as he hurries down a hillside, his enthusiasm spilling over to the tree that stands proudly in the foreground. A stumble momentarily derails his momentum, but the swiftness of the vice president's reflexes allows him to regain his footing and expertly cock his trusty rifle."
"The earliest known adaptation of the classic fairytale, this films shows Jack trading his cow for the beans, his mother forcing him to drop them in the front yard, and beig forced upstairs. As he sleeps, Jack is visited by a fairy who shows him glimpses of what will await him when he ascends the bean stalk. In this version, Jack is the son of a deposed king. When Jack wakes up, he finds the beanstalk has grown and he climbs to the top where he enters the giant's home. The giant finds Jack, who narrowly escapes. The giant chases Jack down the bean stalk, but Jack is able to cut it down before the giant can get to safety. He falls and is killed as Jack celebrates. The fairy then reveals that Jack may return home as a prince.",Make this a haiku.,"Sure, here's a haiku:

The beanstalk climbs tall,
Jack's journey to the giant's hall,
A tale unfolds."
"Alice follows a large white rabbit down a ""Rabbit-hole"". She finds a tiny door. When she finds a bottle labeled ""Drink me"", she does, and shrinks, but not enough to pass through the door. She then eats something labeled ""Eat me"" and grows larger. She finds a fan when enables her to shrink enough to get into the ""Garden"" and try to get a ""Dog"" to play with her. She enters the ""White Rabbit's tiny House,"" but suddenly resumes her normal size. In order to get out, she has to use the ""magic fan.""
She enters a kitchen, in which there is a cook and a woman holding a baby. She persuades the woman to give her the child and takes the infant outside after the cook starts throwing things around. The baby then turns into a pig and squirms out of her grip. ""The Duchess's Cheshire Cat"" appears and disappears a couple of times to Alice and directs her to the Mad Hatter's ""Mad Tea-Party."" After a while, she leaves.
The Queen invites Alice to join the ""ROYAL PROCESSION"": a parade of marching playing cards and others headed by the White Rabbit. When Alice ""unintentionally offends the Queen"", the latter summons the ""Executioner"". Alice ""boxes the ears"", then flees when all the playing cards come for her. Then she wakes up and realizes it was all a dream.",Make this shorter.,"Sure, here's a shorter version:

Alice follows a white rabbit down a rabbit hole and finds a tiny door and a bottle labeled ""Drink me"". After drinking the bottle, she shrinks but not enough to pass through the door and eats a bottle labeled ""Eat me"" and grows large. She finds a fan that enables her to shrink enough to get into the ""Garden"" and try to get a ""Dog"" to play with her. After a while, she leaves the ""Garden"""
"The film opens with two bandits breaking into a railroad telegraph office, where they force the operator at gunpoint to have a train stopped and to transmit orders for the engineer to fill the locomotive's tender at the station's water tank. They then knock the operator out and tie him up. As the train stops it is boarded by the bandits‍—‌now four. Two bandits enter an express car, kill a messenger and open a box of valuables with dynamite; the others kill the fireman and force the engineer to halt the train and disconnect the locomotive. The bandits then force the passengers off the train and rifle them for their belongings. One passenger tries to escape but is instantly shot down. Carrying their loot, the bandits escape in the locomotive, later stopping in a valley where their horses had been left.
Meanwhile, back in the telegraph office, the bound operator awakens, but he collapses again. His daughter arrives bringing him his meal and cuts him free, and restores him to consciousness by dousing him with water.
There is some comic relief at a dance hall, where an Eastern stranger is forced to dance while the locals fire at his feet. The door suddenly opens and the telegraph operator rushes in to tell them of the robbery. The men quickly form a posse, which overtakes the bandits, and in a final shootout kills them all and recovers the stolen mail.",Rewrite this essay but do it using the writing style of Tupac Shakur,"Sure, here's the rewritten essay in the style of Tupac Shakur:

Yo, scene opens with smoke pumpin' out the ears of a telegraph office,
Two clowns creepin' in, guns flashin' a strobe light.
A hostage situation, ain't no time to be cool,
Force the operator to stop the train and fill the fuel.
They knock him out cold, tie him up, ain't no time to waste,
The"
"The film is about a family who move to the suburbs, hoping for a quiet life. Things start to go wrong, and the wife gets violent and starts throwing crockery, leading to her arrest.",Make this rhyme.,"Sure, here's your rhyme:

The family's move to the suburbs, a dream come true,
But fate had a different script in store for them too.
The peace and quiet quickly turned to strife,
And the wife's anger unleashed a violent life.

Crockery flew, a dangerous scene,
The family watched in disbelief and mean.
The wife's anger spiraled out of control,
And the cops were called to put her in a"
"The opening scene shows the interior of the robbers' den. The walls are decorated with the portraits of notorious criminals and pictures illustrating the exploits of famous bandits. Some of the gang are lounging about, while others are reading novels and illustrated papers. Although of youthful appearance, each is dressed like a typical Western desperado. The ""Bandit Queen,"" leading a blindfolded new recruit, now enters the room. He is led to the center of the room, raises his right hand and is solemnly sworn in. When the bandage is removed from his eyes he finds himself looking into the muzzles of a dozen or more 45's. The gang then congratulates the new member and heartily shake his hand. The ""Bandit Queen"" who is evidently the leader of the gang, now calls for volunteers to hold up a train. All respond, but she picks out seven for the job who immediately leave the cabin.
The next scene shows the gang breaking into a barn. They steal ponies and ride away. Upon reaching the place agreed upon they picket their ponies and leaving them in charge of a trusted member proceed to a wild mountain spot in a bend of the railroad, where the road runs over a steep embankment. The spot is an ideal one for holding up a train. Cross ties are now placed on the railroad track and the gang hide in some bushes close by and wait for the train. The train soon approaches and is brought to a stop. The engineer leaves his engine and proceeds to remove the obstruction on the track. While he is bending over one of the gang sneaks up behind them and hits him on the head with an axe, and knocks him senseless down the embankment, while the gang surround the train and hold up the passengers. After securing all the ""valuables,"" consisting principally of candy and dolls, the robbers uncouple the engine and one car and make their escape just in time to avoid a posse of police who appear on the scene. Further up the road they abandon the engine and car, take to the woods and soon reach their ponies.
In the meantime the police have learned the particulars of the hold-up from the frightened passengers and have started up the railroad tracks after the fleeing robbers. The robbers are next seen riding up the bed of a shallow stream and finally reach their den, where the remainder of the gang have been waiting for them. Believing they have successfully eluded their pursuers, they proceed to divide the ""plunder."" The police, however, have struck the right trail and are in close pursuit. While the ""plunder"" is being divided a sentry gives the alarm and the entire gang, abandoning everything, rush from the cabin barely in time to escape capture. The police make a hurried search and again start in pursuit. The robbers are so hard pressed that they are unable to reach their ponies, and are obliged to take chances on foot. The police now get in sight of the fleeing robbers and a lively chase follows through tall weeds, over a bridge and up a steep hill. Reaching a pond the police are close on their heels. The foremost robbers jump in clothes and all and strike out for the opposite bank. Two hesitate and are captured. Boats are secured and after an exciting tussle the entire gang is rounded up. In the mix up one of the police is dragged overboard. The final scene shows the entire gang of bedraggled and crestfallen robbers tied together with a rope and being led away by the police. Two of the police are loaded down with revolvers, knives and cartridge belts, and resemble walking aresenals. As a fitting climax a confederate steals out of the woods, cuts the rope and gallantly rescues the ""Bandit Queen.""",Make this longer.,"Sure, here's the longer version:

The opening scene peels back the curtains to reveal the interior of the robbers' den. The walls are adorned with portraits of notorious criminals and pictures illustrating the exploits of famous bandits. A youthful gang basks amidst the stylishly decorated space, each outfitted like a typical Western desperado. Their camaraderie radiates as they lounge, read novels and illustrated papers, the air thick with the scent of campfire smoke and ambition. The ""Bandit Queen,"" a commanding"
"Scenes are introduced using lines of the poem.[2] Santa Claus, played by Harry Eytinge, is shown feeding real reindeer[4] and finishes his work in the workshop. Meanwhile, the children of a city household hang their stockings and go to bed, but unable to sleep they engage in a pillow fight. Santa Claus leaves his home on a sleigh with his reindeer. He enters the children's house through the chimney, and leaves the presents. The children come down the stairs and enjoy their presents.",Make this rhyme.,"Sure, here's the rhyme:

Santa Claus comes to town,
With reindeer close and sound.
He feeds the reindeer with love,
And finishes his work above.

The children hang stockings near,
And drift to sleep with cheer.
But awaken to a fight,
The night has just taken flight.

Santa's sleigh takes flight away,
With reindeer across the bay.
He enters the house through the flue,
And leaves the presents, a dew"
